Questions,Answers,Labels
Qno4.16,Are most people more upbeat and dynamic than you generally are?,E
Qno5.16,Do you remain unemotional even in situations where most people get very sentimental?,N
Qno1.1,Are you talkative?,E
Qno1.2,Are you reserved?  ,E
Qno1.3,Are you full of energy?,E
Qno1.4,Do you generate a lot of enthusiasm? ,E
Qno1.5,Do you tend to be quiet?,E
Qno1.6,Are you sometimes shy and inhibited?,E
Qno1.7,Are you outgoing and sociable?,E
Qno2.1,Do you tend to find fault with others?,A
Qno2.2,Are you helpful and unselfish with others?,A
Qno2.3,Do you start quarrels with others?,A
Qno2.4,Do you have a forgiving nature?,A
Qno2.5,Are you generally trusting?,A
Qno2.6,Can you be cold and aloof?,A
Qno2.7,Are you considerate and kind to almost everyone?,A
Qno2.8,Are you sometimes rude to others?,A
Qno2.9,Do you like to cooperate with others?,A
Qno3.1,Do you do a thorough job?,C
Qno3.2,Do you get somewhat careless?,C
Qno3.3,Are you a reliable worker?,C
Qno3.4,Do you tend to be disorganized?,C
Qno3.5,Do you tend to be lazy?,C
Qno3.6,Do you persevere until the task is finished?,C
Qno3.7,Do you makes plans and follow through with  them? ,C
Qno3.8,Do you do things efficiently? ,C
Qno3.9,Are you easily distracted? ,C
Qno4.1,"Are you depressed, blue? ",N
Qno4.2,Are you relaxed and handles stress well?,N
Qno4.3,Do you get tense? ,N
Qno4.4,Do you worry a lot? ,N
Qno4.5,"Are you emotionally stable, not easily upset?",N
Qno4.6,Do you get moody?,N
Qno4.7,Do you remain calm in tense situations? ,N
Qno4.8,Do you get nervous easily?,N
Qno5.1,Do you come up with new ideas?,O
Qno5.2,Are you curious about many different things?,O
Qno5.3,Are you ingenious and a deep thinker? ,O
Qno5.4,Do you values artistic and aesthetic experiences? ,O
Qno5.5,Are you inventive? ,O
Qno5.6,Do you likes to reflect and play with ideas? ,O
Qno5.7,Do you prefer work that is routine? ,O
Qno5.8,Do you have an active imagination?,O
Qno5.9,Do you have a few artistic interests?,O
Qno5.10,"Are you sophisticated in art, music, or  literature?",O
Qno3.3,Do people sometimes tell you that you are too stubborn?,A
Qno4.3,"Do you avoid making ""small talk"" with people?",E
Qno5.3,"When you suffer from a painful experience, do you need someone to make me feel comfortable?",N
Qno1.4,Do you think that paying attention to radical ideas is a waste of time?,O
Qno2.4,Do you make decisions based on the feeling of the moment rather than on careful thought?,C
Qno3.4,Do people think of you as someone who has a quick temper?,A
Qno4.4,Are you energetic nearly all the time?,E
Qno5.4,Do you feel like crying when you see other people crying?,N
Qno1.5,Would you spend your time reading a book of poetry?,O
Qno2.5,"Do you plan ahead and organize things, to avoid scrambling at the last minute?",C
Qno3.5,"Is your attitude toward people who have treated you badly is, ""forgive and forget""?",A
Qno4.5,Do you think that most people like some aspects of your personality?,E
Qno5.5,Do you mind doing jobs that involve dangerous work?,N
Qno4.2,Do you rarely express your opinions in group meetings?,E
Qno5.2,Do you sometimes can't help worrying about little things?,N
Qno1.3,Would you a job that requires following a routine rather than being creative?,O
