Answers,Labels
"@AmericanAir @PatrichRuben no, profit maximization is your top priority. Nothing else even registers for you dinosaurs",negative
@AmericanAir 8:30 departure?  Sure. Is there a catering strike at JFK?  @FoxNews @CNBC @BloombergRadio http://t.co/HPgXYZRW8o,neutral
"@AmericanAir @derekc21 , so what would be a file number that works , needs to be 10 characters , email me derek.austin@century21.ca  easier",neutral
"@AmericanAir @manuel_c ""here for you"" as in, yeah, we'll tweet platitudes at you so you'll think our Twitter bot cares? Or....",negative
@AmericanAir #flight293 was supposed to depart at 745 and at 815 we still have not boarded.,negative
@AmericanAir You have the worst customer service of any airlines I've ever encountered. Flat out awful,negative
"@AmericanAir @ezemanalyst why don't you tweet canned, impersonal responses as though this is the only impatient customer you've got",negative
@AmericanAir DONE!! thank you so much!!,positive
@AmericanAir Nice AA employee making skillful excuses about Late Flightness due to catering snafu... http://t.co/YPVPVdlTYs,negative
@AmericanAir then taxi across dfw airport for 20 min to then state 75 min past departing from gate that we need deiced? Wow. Uncool &amp; untrue,negative
@AmericanAir 24 hrs &amp; 2 cncld flights Late Flightr I've landed in PHL. Now 30 mins &amp; counting on tarmac waiting for gate. Pls do better than this.,negative
"@AmericanAir delivered mom's delayed bag to the wrong place. 2 hrs on hold yesterday, &gt;1 hr today. Still no bag. #AA http://t.co/QKkJdFObOS",negative
"@AmericanAir Yeah, try harder. No catering truck in sight.  Can we just leave now w/o the food won't eat anyway?",negative
@AmericanAir this is awful customer service.,negative
@AmericanAir everything's good now brothaaaaaa,positive
@AmericanAir its pulling away from gate to get your departure time then leaving us on tarmac claiming power issues that magically repaired,negative
@AmericanAir 740pm wheels up to be exact.  I'm sending a DM.,neutral
@AmericanAir @sarahzou translation: we don't reinvest our mammoth profits into the customer service experience. 'Cause we don't care.,negative
@AmericanAir OMG ANSWER YOUR PHONE I HAVE BEEN ON HOLD FOR 1.5 hours. Cancelled FlightED FLIGHTS SUCK,negative
@AmericanAir we are through. I can quit you. I am. The nonsense &amp; lies are a colossal infringement you can no longer get away with,negative
"@AmericanAir 719. Looks like we are about to get going, finally!",negative
"@AmericanAir @JimDayTV no, you couldn't care less. That's why their customer service is run by bots",negative
@AmericanAir pls tell me how to get a person on the phone asap,negative
@AmericanAir I have a Cancelled Flighted flight tomorrow morning and the 800 number did nothing! Please! I just want to go home!,negative
@AmericanAir you wont allow calls? My husband has a ticket but it looks like all the seats are taken? I cant even call.,neutral
@AmericanAir yes but we HAVE TO GET HOME TOMORROW!!!! Please,negative
@AmericanAir unfriendly unhelpful agents. Unannounced gate changes. Delayed flight that we found out about by word of mouth,negative
@AmericanAir flight 3056 still sitting at DFW waiting for baggage to be loaded,negative
@AmericanAir I tried several times to select seats. The only ones ever available would've cost me $30 extra per seat.,negative
@AmericanAir we need a miracle @slcairport please help flight 1228 get out of here by 640 #FingersCrossed #pleasegod #missmykids,negative
@AmericanAir 3198 to AEX. Is it still going?,neutral
@AmericanAir i do not want to stay overnight at this airport! I have been here since 11 am this morning!,negative
@AmericanAir finally about to take off! Thanks for the customer service by the g8 reps @ c17 @ CTL. Any idea what caused the system failure?,negative
@AmericanAir Trying to rebook a flight with you because of Cancelled Flightlation is a nightmare.  I was hung up on once. Can you help me rebook?,negative
"@AmericanAir i have tried getting help from agents, the phone, twitter, and FB. Can no one at American Airlines help me?",negative
@AmericanAir Close down,negative
@AmericanAir it was 1265 coming and next catching 2396 home to DCA. Let's get another great leg too tonight!,positive
@AmericanAir i appreciate your apology. Sincerely. Thank you. That's really all I ever wanted to begin with.,positive
@AmericanAir AA 100 - good job overselling this flight. Delayed 90 minutes to deplane the overflow passengers' bags.,negative
@AmericanAir I’ve been on the line waiting for 40 minutes again.,negative
@AmericanAir you know nothing about customer service and I'll make sure everyone knows it,negative
@AmericanAir I understand flight Cancelled Flightation but not being able to get through to change that flight for 6 hrs is not acceptable.,negative
@AmericanAir now I have to pay for a hotel a car ride miss classes which I pay 30k for and miss work and you tell me to talk to someone,negative
@AmericanAir your 1800 kept hanging up on me and made me miss a second flight,negative
@AmericanAir yeah that's not helping. Having my bag shipped to the correct city the first time probably would have helped.,negative
@AmericanAir I did 50 times and no one was helpful I'm missing work nd school nd the manager REM from mia told me he didn't want to talk us,negative
@AmericanAir My flight to @dfwairport was Cancelled Flightled. Mess ensued. Please thank the awesome Marcos (Concierge Key @ GRU) for sorting it out!,negative
@AmericanAir I haven't been rebooked. I called and left my number for a callback but haven't heard anything and my flight is tomorrow. :(,negative
@AmericanAir not enough push crews for JFK = 1.5 he delay and counting....,negative
@AmericanAir I cannot believe how long flight 759 PHI  is taking. I know it's US Airways but you own it. I would really like to get home.,negative
@AmericanAir Hopefully you guys are willing to cover my lovely car rental and living charges...I love being here for two extra days..,negative
@AmericanAir Same as yesterday's Cancelled Flighted flight. AA104. Your customer support is just awful!,negative
@AmericanAir big surprise flight 2330 is delayed. Hopefully not for 6 hours like our flight here.  Thanks again for a sleepless night.,negative
@AmericanAir really? Not even worthy of a response. This is beginning of a social media alert to the world that AA and @USAirways are useles,negative
@AmericanAir Hi AA friends! My sis's flight AA362 DFW&gt;&gt;MKE was Cancelled Flighted due to weather. Any way you can help here? What are her options?,negative
@AmericanAir is that something the crew on the current leg can request of the gate team on the next leg?,negative
@AmericanAir I have not. There's no option for even getting a call back!,negative
@AmericanAir tomorrows flight Cancelled Flighted. I understand. Three hour wait for a call back and now 60 minutes on hold. Not cool.,negative
@AmericanAir all flights Cancelled Flighted tomorrow and that means I'm stranded at the airport for the night... wow.,negative
@AmericanAir how hard is it to have catering ready to go?,negative
@AmericanAir Why does your iPhone app not have any sort of notifications option?,negative
@AmericanAir this is unbelievable and unacceptable. Flight #293. JFK. Everyone at the gate is upset as most of us have been here all day.,negative
"@AmericanAir I made my flight but then still had no update emails when I landed, no info ever sent on that or second flight. Losing my biz.",negative
@AmericanAir flight 3056 DFW still has all passengers sitting on the plane waiting for luggage to be loaded - still waiting,negative
@AmericanAir I still am not on a flight. Ive been here allll day and now we're not boarding because we're waiting for catering?,negative
@AmericanAir my husband and 5 year old son stuck overnight in DC thanks to 7 crew members arguing over who was boarding the flight,negative
@AmericanAir if this is how you guys work then i will never fly with you guys again.,negative
"@AmericanAir versus @JetBlue 
in Customer Service?
Who will win!
For Me @AmericanAir is a convenience to a trip to Cali &lt;3",positive
"@AmericanAir agents refuse to help, ""too busy"" &amp; need to call advantage#. NO ONE willing to help and apparently being exec plat means ZERO",negative
@AmericanAir fight got Cancelled Flighted can u help me rebook a flight?  Call center is too busy to answer calls or even put me on hold #yuck,negative
@AmericanAir you should be contacting her for a refund - dm me and I will provide phone number,neutral
@AmericanAir ah if only we could get through. We've tried for over 2 hrs. Can we call @united?,negative
@AmericanAir this is ridiculous! You all really have terrible customer service and a lack of urgency. Im convinced.,negative
"@AmericanAir of course it wasn't your intention, issue lies in lack of response. she did contact you directly; she sat on hold for 50 mins",negative
@AmericanAir I have been waiting at this airport since 11 am and have to wait until 8:30 tomorrow and cannot get any sort of help!,negative
@AmericanAir pathetic to have your gate agents lie to my face when you are at fault,negative
@AmericanAir trying to check in for flight. On line not working &amp; agents too busy to take my call.,negative
"@AmericanAir yep, they moved me to 16A as they showed me flying ""standby""",neutral
@AmericanAir understand the weather but would be nice to hear an apology on the phone when you moved my flight to an inconvenient day,negative
"@AmericanAir My baggage is lost, my flight Cancelled Flightled and i get no accommodations? Not even to another airline. At least one free hotel?",negative
@AmericanAir I'm on 1024 into Dallas. Do I have any chance of catching 2238 to Boston? Do I need to run from Gate D6 to A15?.,neutral
@AmericanAir AA I need a Hail Mary. How do I get from Dallas to Joplin JLN in the next 14 hours. Willing to fly to other airports and drive,negative
@AmericanAir I've been on hold for about 3 and a half hours now. Thanks for Cancelled Flighting my flight and not notifying me.,negative
@AmericanAir rude gate agent by AA363 ORD-LGA just now. Seems to have a temper. Made me check in a bag that fit INSIDE the sizer.,negative
"@AmericanAir Hi ho, hi ho. It's off to work I go. #WeeklyCommuteOnAA http://t.co/JQHg4jTm4w",neutral
@AmericanAir you put a sour taste on this customer’s vacation. it was joke watching those “we care thanks for choosing us” videos,negative
@AmericanAir are you expecting flights out of DFW to be Cancelled Flightled tomorrow AM and afternoon?,neutral
@AmericanAir help us here !!! We are stuck here @jfk for more than 24hours! !we need to go home #flight919 #saveus,negative
@AmericanAir lets me get in line for call back in over 2 hours. I'll just hope the 1 ticket left on the flight I want is still there Late Flightr.,negative
@AmericanAir Flight  AA1691 LAX to LAS closes too early and gate agents give us hassles #PatheticCX,negative
@AmericanAir I am honestly in shock how this process and service compares to my other airline experiences. Not really sure what to say...,negative
"@AmericanAir here we go again #aa106 ""Plane not ready"". Are we going to find the crew run out of time again like last night #shortstaffed",negative
@AmericanAir flight 3056 DFW still has all passengers sitting on the plane waiting for luggage to be loaded,negative
@AmericanAir At what e-mail adress can I send your CEO Mr. Doug Parker a letter that he hopefully reads?,neutral
"@AmericanAir why does your customer service line say ""we are experiencing high call volume"" and then spontaneously hangup on the person?",negative
@AmericanAir well its been over 4 hours now and still no one has picked up   try paying overtime and bring in more people,negative
@AmericanAir What's the best way to check on any delays or Cancelled Flightlations for my flight out of DFW on Tuesday?,neutral
@americanair @bershawnjackson big UPS to Newark airport staff &amp;&amp; D.Dean. I was also treated lovely while I was in town. ❤❤,positive
@AmericanAir pleaseeee find my suitcase. I want deoderant and a clean shirt for work tomorrow :(,negative
@AmericanAir Here you go https://t.co/oM1vIEg74a,neutral
"@AmericanAir Hey, so... I think I left my wallet on you. Can I have it back, please?",neutral
"@AmericanAir ok, thanks you! Have a great night AA team!",positive
@AmericanAir - Can you please give me a travel agent support phone number? I cant find it on your website. Thanks.,neutral
@AmericanAir any idea what's up with flight AA3181?,negative
@AmericanAir your maint delay left us stuck in den!! Flight 1080.  Been on plane for 7 hrs.  Stop flying broke french planes!,negative
@AmericanAir sucks!! Teco teco #reclameaqui #TripAdvisor http://t.co/auGJsCmoLu,negative
@AmericanAir  You can't get us to Cincy but our luggage will still go there tonight? Stranded us in Dallas for 2 days w/o clothes? #Yousuck,negative
@AmericanAir It just hangs up and your agents on the ground are useless. How don't I have a seat on a first class ticket booked weeks ago?,negative
@AmericanAir ive literally been holding for more than 2 HOURS now. i was told 2hrs. You all are sabotaging any chance i have of getting home,negative
@AmericanAir we're still here guys - you are the worst,negative
@AmericanAir 24 hours on the AirPort,negative
@AmericanAir - don't understand why I have zero Flt info- no email- 2 he wait time on ph lines- so much for Advan Mem :(,negative
@AmericanAir ok so why is it Late Flight? And for that matter why was my flight 4491 Cancelled Flighted this morning? I've been in YYZ since 5 AM.,negative
"@AmericanAir plane breaks, unloads the passengers, told to re enter to only come back off. Flight Cancelled Flightled, missed wedding. #badbusiness",negative
@AmericanAir - very upset with my hometown airline. Stuck in Den Flt Cancelled Flightled. Others here with me got new Flt info,negative
@AmericanAir absolutely worse cust. Svc ever experienced in 25 yrs of flying.  Supvrs at iah extremely rude. #poorservice #travel,negative
"@AmericanAir Kid upset, my staff upset (one accused of stealing fruit!!!!!) mistreatment due to airline policy of an Austic child.",negative
@AmericanAir I have been trying to get through to someone about my Cancelled Flightled flight tomorrow for over 4 hours.,negative
@AmericanAir Trip cut 7 hrs short due to flight change/massive layovers/ no peanuts or crackers/ asked for H2O and received about 2oz.,negative
@AmericanAir Flight's Cancelled Flightled. Website says to call phone number.Phone says to check online.  How am I supposed to get some help?,negative
@AmericanAir yes. We spent the whole day talking to agents and someone finally offered to let him stay in a hotel,negative
@AmericanAir flight from JFK to EGE was cxld after on runway for an hour. Flight moved to 7am but they won't give luggage back. Nice.,negative
@AmericanAir delayed for two hours at ORD--&gt;CDG the one time I need to be there to catch a train... 😒,negative
@AmericanAir not to mention its a three hour wait to get an agent on the phone.,negative
@AmericanAir Cancelled Flighted our flight and now are still delayed...NOT COOL.,negative
@AmericanAir we did for the last 8 hours.  Your customer service is horrendous.  I should have flown Delta,negative
@AmericanAir there is a full flight of customers sitting on the plane waiting for baggage to be loaded on AA 356 in DFW - why? 2 hour delay,negative
@AmericanAir why a different airport! I have no way of getting to a different airport.,negative
"@AmericanAir AA agent said I repeated myself when I was explaining. I told him ""I understand English."" His reply?""Our conversation is over.""",negative
"@AmericanAir long wait? I literally went shopping at 3 different centers, had lunch and prepared dinner. surprise, it's winter! staff better",negative
@AmericanAir AA 1657 was also over an hour Late Flight to depart Ohare and now we have no luggage. Not happy standing in a long line at baggage svc,negative
@AmericanAir is flight 2934 dfw to gsp going to be Cancelled Flightled tomorrow?,negative
@AmericanAir Stuck on the plane in Charlotte.  Going to miss my connection.  No words from staff. Maybe some damn pretzels?,negative
"@AmericanAir Do you happen to know if that plane will be repainted, or fly ""off into the sunset?""",neutral
@AmericanAir - AA1344 Cancelled Flighted on 2.23 - rebooked on us air 623/544 on 2.24. Has to be a nonstop on 2.24 for us (2)?,negative
@AmericanAir today's wait was a violation of #dot #passengerbillofrights http://t.co/GxvFumn3iZ,negative
@AmericanAir arrived in lax from ord flight AA1657 NO LUGGAGE,negative
"@AmericanAir I've got a BA flight as your airport couldn't accommodate us. We were left without any info. No vouchers for food,nothing.",negative
@AmericanAir flight 1019 I need 2 b on the first flight out frm MIA 2 TPA. I'm extremely irritated. I've been at this airport for 5.5 hrs.,negative
@AmericanAir many trips coming up!  I will see you soon 😃,positive
@AmericanAir message and pics sent...,neutral
@AmericanAir flight 3056 in D/FW now delayed 2 hours waiting sitting in plane for baggage to be loaded - why?,negative
@AmericanAir … Been trying to book a whole new flight since 2 hours!! what is wrong with your website?,negative
@AmericanAir Considering it was purchased on the 21st and I attempted to use it again on the 21st I believe it would fit these parameters.,neutral
"@AmericanAir pretty impressed with the in flight entertainment. Full touch, usable, smooth, good selection.",positive
@AmericanAir Now your site is not working! WTF,negative
"@AmericanAir @Delta @JetBlue can you help? @SpiritAirlines is in the wrong, stuck in Florida 3days. They need to learn from real airlines.",negative
@AmericanAir it wasn't ' disrupted' it was Cancelled Flightled. Airport agents were horrendous. Sharon was your saviour,negative
@AmericanAir I'm great thanks keep up the good work,positive
@AmericanAir my flight has been delayed &amp; I can't talk reach anyone in customer service because of high call volume.,negative
@AmericanAir why does your RTW planner (spec. Circle Pacific) not let me even plan the demo routes from your website?,negative
@AmericanAir @dfwairport listening to all the flights taking off over my house and kicking myself for Flight Booking Problems an AM flight tomorrow. Iceday?,negative
@AmericanAir @Delta @JetBlue I am going to be stuck in Florida for 3 days because @SpiritAirlines wouldn't hold my connecting flight to LGA,negative
"@AmericanAir yes, I will do just that as soon as I have a moment to gather my thoughts.",neutral
@AmericanAir I even went to ticket counter and got no help,negative
@AmericanAir Just learned my flight is Cancelled Flightled.can't get through by phone and don't see any option for assistance online. Any suggestions?,negative
"@AmericanAir Got an email about an itinerary change, but can't seem to get to anyone on phone. New flight time doesn't work for me. Help?",negative
@AmericanAir please help my flight appears Cancelled Flight 1503 from ft. Lauderdale to Dallas to LAX. Is there anything leaving from Mia or FLL? ThxU,neutral
"@AmericanAir 's computer systems are down, can't leave without a flight plan! Any ETA, American air?",negative
.@AmericanAir ReFlight Booking Problems for the following day is unacceptable. DMing you that and our phone number.,negative
@AmericanAir I want the flight I have on hold. I don't want a new flight.,negative
@AmericanAir Sitting at the gate on Flight 719 for an hour due to Sabre being down. What backup plan is in place if Sabre cannot be fixed?,negative
@AmericanAir @dfwairport got rebooked through the AA online app.,neutral
@AmericanAir please pray for us that our gear is not lost or stolen due to YOUR incompetent employees. #CNN #ABCNews #MSNBC #Photography,negative
@AmericanAir shoutout to the agent on duty now @ Gate B1 #ABQ / outstanding customer service w delayed FLT 336 http://t.co/OoEJ4d4JoP,positive
@AmericanAir ...is this how you want to treat your platinum (and two gold) flyers??,negative
@AmericanAir Your gate attendants in ABQ are awful as was your service. You should be ashamed. Terrible experience here from start to finish,negative
"@AmericanAir Still sitting in airport as 6:05 flt delayed until 6:55...but still not boarding, what is happening?  No info....",negative
"@AmericanAir @sa_craig no gate agent, and only 3 PA updates for 3 hours, hinted at abandonment. horrible experience for all passengers.",negative
"@AmericanAir been a very long day in Philly...12:13pm flt to ORD Cancelled Flighted with NO notice, no message, no email.  NOT NICE FOR WE PLATINUMS.",negative
@AmericanAir my travel for tomorrow was Cancelled Flightled and then stupidly rebooked for tomorrow! I can't get through to reservations!,negative
@AmericanAir what name and department does it come under? Thanks,neutral
@AmericanAir 1416 Cancelled Flightled? Can't get out for two days? No explanation?,negative
"@AmericanAir @sa_craig no, not helped one bit. actually ended up driving home due to extreme disorganization and lack of communication.",negative
@AmericanAir United needs our ticket number since you rebooked us and you gave the incorrect ticket number now we can't check in #help,negative
#nothelpful MT @AmericanAir: Our call volume is extremely high today. Our apologies. Please continue contacting Reservations for assistance.,negative
"@AmericanAir I've been trying to call to cxl a reservation for tomorrow, due to needing surgery this week - cannot get through?",negative
@AmericanAir I can't keep dialing you guys all day. Can I get into the callback queue?,negative
@AmericanAir Cancelled Flight previous request. Will accept ticket number for document number,neutral
@AmericanAir I've called that and they said they can't help me and it's out of their hands. I really feel like an under appreciated customer,negative
@AmericanAir 62 inches !?,neutral
@AmericanAir Thank you. Good suggestion. I checked and we were not rebooked. We'll keep checking and looking for other flights,positive
@AmericanAir they could be seen if your horrible customer service group would actually update the information! Never fly American again!,negative
@AmericanAir Am on web site requesting refund for Cancelled Flightled flight. It requires numerical document number. Where get it?,neutral
"@AmericanAir Hmm. Looks like you looked at my tweet from last month, not this one. Was able to get U.K. agent to help me, thanks.",positive
"@AmericanAir Stuck on a plane at JFK: food was not on the plane now we need to wait crew to push back the plane. Good job, AA!",negative
@AmericanAir no one met flight 1081 to LAX to tell passengers where to go or what flights they were rebooked on #badmgmt #AmericanAirlines,negative
@AmericanAir while I'm aggravated - shouldn't baggage fees disappear now that gas prices have dropped?,negative
"“@AmericanAir: @Dawn_Davis You're very welcome, Dawn. We love taking you flying. Let's do it again!” Again in 1 week!",positive
@americanair never fails to disappoint. waiting at jfk an hour after scheduled take off and still no word on departure,negative
"@AmericanAir one of my luggage didn't made it onto my flight, hope it really gets here tomorrow, as I was told 😓😭",negative
"@AmericanAir lost my wife's luggage and nobody gives you and answer, all they say is go here or call there.",negative
@AmericanAir check your dm pls,neutral
@AmericanAir why don't you have driver service to get employees to work in bad weather like hospitals etc #badmgmt #AmericanAirlines,negative
